"source","num_articles","earliest","latest","min","max","avg","num_alerts"
"morgenweb, das Nachrichtenportal für die Metropolregion Rhein-Neckar",1,"2016-09-27T22:13:00Z","2016-09-27T22:13:00Z",0,0,0,0
MSN,2,"2016-03-27T13:34:00Z","2017-06-30T19:45:00Z",-0.034579441,0.091365464,0.028393011540174484,0
Mühlacker Tagblatt,1,"2015-04-11T02:15:00Z","2015-04-11T02:15:00Z",0.242857143,0.242857143,0.24285714328289032,0
N24,15,"2014-11-09T18:14:00Z","2016-12-25T16:31:00Z",-0.107142858,0.158823535,0.05613394424629708,1
Nachrichten – DEUTSCHE WIRTSCHAFTS NACHRICHTEN,1,"2018-03-30T12:38:00Z","2018-03-30T12:38:00Z",-0.0206349213,-0.0206349213,-0.02063492126762867,0
netzpolitik.org,4,"2016-11-23T11:03:00Z","2019-03-12T07:43:00Z",-0.104999997,0.0399801582,-0.03590135695412755,0
netzwoche.ch,77,"2016-08-25T12:38:00Z","2019-03-08T13:51:00Z",-0.186842099,0.443333328,0.10647696549338954,1
Neue Luzerner Zeitung,255,"2014-02-19T10:57:00Z","2018-12-31T04:12:00Z",-0.193589747,0.391666681,0.08475690902274687,22
Neue Presse,5,"2017-06-29T14:14:00Z","2018-12-30T08:32:00Z",-0.0909090936,0.0411458351,-0.009135948121547699,0
Neue Presse Coburg,2,"2015-02-05T19:41:00Z","2017-09-05T09:36:00Z",0.114,0.167708337,0.14085416868329048,0
neues deutschland,25,"2014-01-14T18:55:00Z","2019-02-11T17:14:00Z",-0.039682541,0.25526315,0.08591320361942052,6
Neue Zürcher Zeitung,2080,"2014-01-04T04:44:00Z","2019-03-12T19:15:00Z",-0.375,0.476190478,0.06767189988482782,121
Never Mind the Markets,9,"2014-04-22T18:08:00Z","2015-09-07T17:52:00Z",0.00603448274,0.200441182,0.07676682543630402,0
news.ch,13,"2015-11-07T18:58:00Z","2016-05-31T15:08:00Z",-0.125,0.160045668,0.05027207331015514,1
News.de,2,"2014-07-16T09:17:00Z","2016-02-01T14:15:00Z",-0.117391303,0.020833334,-0.0482789846137166,0
news.dkp.suhail.uberspace.de,1,"2015-04-04T21:44:00Z","2015-04-04T21:44:00Z",0.0132113826,0.0132113826,0.013211382552981377,0
newsORF.at,3,"2015-12-21T17:55:00Z","2017-06-26T17:51:00Z",-0.138541669,0,-0.08506944527228673,1
NNN.de,3,"2017-03-16T20:56:00Z","2017-10-18T06:06:00Z",-0.108908042,0.0840909109,-0.02342389275630315,1
Nordbayern,2,"2017-12-31T14:00:00Z","2017-12-31T21:40:00Z",-0.067916669,-0.0151639348,-0.041540301870554686,1
Nordkurier,3,"2015-03-30T21:20:00Z","2018-11-06T19:08:00Z",-0.0526315793,0.125490203,0.036508429795503616,0
noz.de,3,"2016-06-06T21:59:00Z","2017-08-23T17:29:00Z",-0.2074074,0.140714288,0.008032120764255524,0
NRZ,1,"2018-09-28T18:48:00Z","2018-09-28T18:48:00Z",-0.0703980103,-0.0703980103,-0.0703980103135109,0
n-tv.de,22,"2015-08-11T09:25:00Z","2018-03-31T15:53:00Z",-0.24520202,0.247701153,0.024557851085608654,4
NWZ Online,9,"2014-09-15T03:27:00Z","2019-03-11T20:02:00Z",0.0239482205,0.390909106,0.22171486727893353,0
NZZ Bellevue,1,"2018-03-15T11:01:00Z","2018-03-15T11:01:00Z",0.178676471,0.178676471,0.17867647111415863,0
"NZZ Campus - Studium, Karriere, Hochschulen, Universitäten",3,"2015-04-13T12:32:00Z","2015-06-04T15:07:00Z",-0.036842104,0.019811321,-0.01219866673151652,0
Oberosterreichische Nachrichten,7,"2015-05-22T23:49:00Z","2018-12-23T23:31:00Z",0.0218749996,0.310000002,0.16863260604441166,0
oe24,3,"2015-11-03T08:56:00Z","2018-03-30T19:42:00Z",-0.0857142881,0.203571424,0.09790640324354172,0
oekonews.at,1,"2018-09-23T22:26:00Z","2018-09-23T22:26:00Z",0.170289859,0.170289859,0.17028985917568207,0
Oltner Tagblatt,313,"2014-11-28T12:20:00Z","2018-11-25T08:35:00Z",-0.5,0.426984131,0.06956309821685783,11
op-online.de,11,"2014-02-19T03:20:00Z","2019-03-12T10:07:00Z",-0.0471428558,0.288461536,0.14039009521630677,0
Ostbelgien Direkt,1,"2019-03-11T08:43:00Z","2019-03-11T08:43:00Z",0.178676471,0.178676471,0.17867647111415863,0
ot Oltner Tagblatt,2,"2019-01-14T11:10:00Z","2019-01-19T04:03:00Z",0.0473684222,0.0479591824,0.04766380228102207,0
Passauer Neue Presse,3,"2014-12-25T19:13:00Z","2018-10-10T13:29:00Z",0.123529412,0.307894737,0.2301716829339663,0
PAZ-online.de,1,"2019-03-06T19:19:00Z","2019-03-06T19:19:00Z",0,0,0,0
PCtipp.ch,6,"2014-03-19T02:47:00Z","2016-03-07T16:18:00Z",0.0142857144,0.382142872,0.15492400946095586,0
PC-WELT Web,1,"2014-11-04T11:24:00Z","2014-11-04T11:24:00Z",0,0,0,0
perlentaucher.de,6,"2014-04-23T21:19:00Z","2016-06-02T08:35:00Z",0.0275985654,0.100000001,0.046872744957605995,0
persoenlich.com,1,"2016-03-16T17:24:00Z","2016-03-16T17:24:00Z",0.00833333377,0.00833333377,0.008333333767950535,0
Politically Incorrect,4,"2014-02-26T19:01:00Z","2018-12-30T17:19:00Z",-0.0765333325,0.141666666,0.0005715279839932919,1
PolitikExpress,3,"2016-03-16T20:04:00Z","2018-12-30T23:58:00Z",-0.032142859,0.315909088,0.11625540877381961,0
polizeinews.ch,1,"2018-09-04T09:48:00Z","2018-09-04T09:48:00Z",-0.32472223,-0.32472223,-0.3247222304344177,0
poppress.de,8,"2018-11-08T13:15:00Z","2019-03-09T15:09:00Z",-0.616666675,0.68095237,0.016488092951476574,1
Potsdamer Neueste Nachrichten,20,"2014-02-17T10:57:00Z","2018-03-31T20:05:00Z",-0.106327161,0.122368418,0.015297519182786346,1
presseportal.ch,68,"2014-01-02T13:04:00Z","2019-01-23T14:42:00Z",-0.125,0.683333337,0.15136945733855314,2
presseportal.de,6,"2015-12-07T19:17:00Z","2018-06-25T19:14:00Z",-0.043333333,0.231250003,0.12093364261090755,0
pressetext,1,"2016-10-12T07:08:00Z","2016-10-12T07:08:00Z",0.112605043,0.112605043,0.11260504275560379,0
principiis-obsta.blogspot.se,1,"2015-08-28T15:00:00Z","2015-08-28T15:00:00Z",0.180808082,0.180808082,0.18080808222293854,0
PR Newswire,1,"2015-09-16T20:50:00Z","2015-09-16T20:50:00Z",0.0972222239,0.0972222239,0.0972222238779068,0
Promiflash.de,1,"2018-12-30T14:49:00Z","2018-12-30T14:49:00Z",0.24545455,0.24545455,0.2454545497894287,0
Radio Bremen TV,2,"2015-12-16T07:02:00Z","2017-03-31T06:40:00Z",0.0171875004,0.127898544,0.07254302222281694,0
radio.li,36,"2015-01-28T21:30:00Z","2018-12-20T12:39:00Z",-0.540000021,0.49000001,0.03442902387016349,1
Radio Liechtenstein,6,"2019-01-17T12:57:00Z","2019-03-08T07:42:00Z",-0.142857149,0.233333334,0.042671957363684974,0
Radio Plassenburg FM 101.6,2,"2017-09-24T05:54:00Z","2017-09-24T19:48:00Z",0.0538461544,0.0636363626,0.05874125845730305,0
relevant,1,"2018-09-30T17:33:00Z","2018-09-30T17:33:00Z",0.191304341,0.191304341,0.19130434095859528,0
report-k.de,1,"2019-03-06T22:22:00Z","2019-03-06T22:22:00Z",0.00681818184,0.00681818184,0.006818181835114956,0
Reutlinger General-Anzeiger,2,"2016-10-08T00:11:00Z","2017-03-29T19:06:00Z",-0.166666672,0.0217391308,-0.07246377039700747,0
rf-news.de,1,"2017-06-22T09:38:00Z","2017-06-22T09:38:00Z",0.0406249985,0.0406249985,0.04062499850988388,1
rga.de,1,"2016-03-22T13:25:00Z","2016-03-22T13:25:00Z",0.00812672172,0.00812672172,0.00812672171741724,0
rheinpfalz.de,1,"2017-03-29T15:52:00Z","2017-03-29T15:52:00Z",-0.0852380916,-0.0852380916,-0.08523809164762497,0
Rhein-Zeitung,1,"2014-08-21T07:50:00Z","2014-08-21T07:50:00Z",0.0076388889,0.0076388889,0.0076388888992369175,0
Romandie,1,"2018-04-05T08:23:00Z","2018-04-05T08:23:00Z",0.0799999982,0.0799999982,0.07999999821186066,0
RP Online,29,"2015-05-22T10:49:00Z","2019-03-08T17:18:00Z",-0.238000005,0.379999995,0.0652465314267139,3
RT Deutsch,5,"2017-11-08T02:18:00Z","2019-03-08T11:36:00Z",-0.0903846174,0.0904761925,0.03198356553912163,1
rubikon.news,1,"2017-05-04T23:27:00Z","2017-05-04T23:27:00Z",0.0940058455,0.0940058455,0.09400584548711777,0
rume.de,1,"2018-03-28T21:36:00Z","2018-03-28T21:36:00Z",0.109814815,0.109814815,0.10981481522321701,0
Salzburger Nachrichten,7,"2015-05-22T12:56:00Z","2017-05-02T04:05:00Z",0,0.340000004,0.1278420646807977,2
Schaffhauser Nachrichten,9,"2017-02-14T07:46:00Z","2017-08-30T09:28:00Z",-0.0610360354,0.19571428,0.050830256711277694,1
Schwäbisches Tagblatt online,2,"2014-11-18T09:13:00Z","2016-09-26T04:49:00Z",-0.125862062,0.0101190479,-0.05787150701507926,0
Schwaebische,8,"2015-08-17T06:43:00Z","2017-09-30T02:59:00Z",-0.0758064538,0.26712963,0.06721158477012068,1
Schwarzwalder Bote,5,"2014-05-22T20:43:00Z","2019-03-04T18:23:00Z",-0.00499999989,0.383333325,0.14115330036729573,0
schweizerbauer.ch,13,"2015-10-10T10:36:00Z","2018-10-14T18:16:00Z",-0.154545456,0.210526317,0.0694512460165872,0
Schweizer Radio und Fernsehen (SRF),192,"2014-05-09T09:43:00Z","2019-03-12T03:20:00Z",-0.215789467,0.340000004,0.04837952544039581,20
Schweizerzeit,12,"2015-03-12T05:48:00Z","2016-09-30T08:52:00Z",-0.231578946,0.191666663,0.045246706916562594,0
shz.de,4,"2016-12-31T09:46:00Z","2018-12-15T15:44:00Z",-0.133974358,0.205882356,0.007476999424397945,0
skionline.ch | Das Schneeportal,1,"2017-08-04T16:13:00Z","2017-08-04T16:13:00Z",0.17058824,0.17058824,0.17058824002742767,0
sn.at,4,"2017-10-01T22:06:00Z","2018-06-15T22:13:00Z",-0.100833334,0.0583333336,-0.008160103810951114,2
soaktuell.ch,4,"2014-10-05T05:16:00Z","2015-11-21T07:22:00Z",-0.0672413781,0.192000002,0.08161981776356697,0
Soester Anzeiger,2,"2018-06-24T12:04:00Z","2018-06-25T17:40:00Z",-0.0222222228,0.395000011,0.18638889398425817,0
Solothurner Zeitung,325,"2014-01-03T21:45:00Z","2018-12-19T03:39:00Z",-0.616666675,0.485714287,0.07977885868395858,9
Sonnenseite,1,"2015-09-25T06:55:00Z","2015-09-25T06:55:00Z",0.0157480314,0.0157480314,0.015748031437397003,0
sonntagszeitung.ch,1,"2014-02-02T01:23:00Z","2014-02-02T01:23:00Z",0.0353333317,0.0353333317,0.03533333167433739,0
